campaign_id,date,total_kpi_today,starts,ends,flight_id,kpiVolume,kpi_cumsum,kpi_open_today,kpi_needed_today
182,2023-09-02,14,2023-09-01,2023-09-30,822,421.0,30,391.0,14
182,2023-09-03,18,2023-09-01,2023-09-30,822,421.0,48,373.0,14
182,2023-09-04,15,2023-09-01,2023-09-30,822,421.0,63,358.0,14
182,2023-09-05,18,2023-09-01,2023-09-30,822,421.0,81,340.0,14
182,2023-09-06,15,2023-09-01,2023-09-30,822,421.0,96,325.0,14
182,2023-09-07,19,2023-09-01,2023-09-30,822,421.0,115,306.0,14
182,2023-09-08,23,2023-09-01,2023-09-30,822,421.0,138,283.0,13
182,2023-09-09,22,2023-09-01,2023-09-30,822,421.0,160,261.0,13
182,2023-09-10,19,2023-09-01,2023-09-30,822,421.0,179,242.0,13
182,2023-09-11,11,2023-09-01,2023-09-30,822,421.0,190,231.0,13
182,2023-09-12,12,2023-09-01,2023-09-30,822,421.0,202,219.0,13
182,2023-09-13,0,2023-09-01,2023-09-30,822,421.0,202,219.0,13
182,2023-09-14,14,2023-09-01,2023-09-30,822,421.0,216,205.0,13
182,2023-09-15,9,2023-09-01,2023-09-30,822,421.0,225,196.0,14
182,2023-09-16,10,2023-09-01,2023-09-30,822,421.0,235,186.0,14
182,2023-09-17,23,2023-09-01,2023-09-30,822,421.0,258,163.0,13
182,2023-09-18,19,2023-09-01,2023-09-30,822,421.0,277,144.0,12
182,2023-09-19,19,2023-09-01,2023-09-30,822,421.0,296,125.0,12
182,2023-09-20,17,2023-09-01,2023-09-30,822,421.0,313,108.0,11
182,2023-09-21,12,2023-09-01,2023-09-30,822,421.0,325,96.0,11
182,2023-09-22,32,2023-09-01,2023-09-30,822,421.0,357,64.0,8
182,2023-09-23,26,2023-09-01,2023-09-30,822,421.0,383,38.0,6
182,2023-09-24,34,2023-09-01,2023-09-30,822,421.0,417,4.0,1
182,2023-09-25,31,2023-09-01,2023-09-30,822,421.0,448,-27.0,-5
182,2023-09-25,31,2023-09-01,2023-09-30,822,421.0,479,-58.0,-11
182,2023-09-26,16,2023-09-01,2023-09-30,822,421.0,495,-74.0,-18
182,2023-09-27,24,2023-09-01,2023-09-30,822,421.0,519,-98.0,-32
182,2023-09-28,15,2023-09-01,2023-09-30,822,421.0,534,-113.0,-56
182,2023-10-04,6,2023-10-01,2023-10-31,915,519.0,6,513.0,19
182,2023-10-05,18,2023-10-01,2023-10-31,915,519.0,24,495.0,20
182,2023-10-06,20,2023-10-01,2023-10-31,915,519.0,44,475.0,19
182,2023-10-07,23,2023-10-01,2023-10-31,915,519.0,67,452.0,19
182,2023-10-08,25,2023-10-01,2023-10-31,915,519.0,92,427.0,19
182,2023-10-09,0,2023-10-01,2023-10-31,915,519.0,92,427.0,20
183,2023-09-01,23,2023-09-01,2023-09-30,827,617.0,23,594.0,21
183,2023-09-02,17,2023-09-01,2023-09-30,827,617.0,40,577.0,21
183,2023-09-03,16,2023-09-01,2023-09-30,827,617.0,56,561.0,21
183,2023-09-04,28,2023-09-01,2023-09-30,827,617.0,84,533.0,21
183,2023-09-05,19,2023-09-01,2023-09-30,827,617.0,103,514.0,21
183,2023-09-06,28,2023-09-01,2023-09-30,827,617.0,131,486.0,21
183,2023-09-07,29,2023-09-01,2023-09-30,827,617.0,160,457.0,20
183,2023-09-08,19,2023-09-01,2023-09-30,827,617.0,179,438.0,20
183,2023-09-09,19,2023-09-01,2023-09-30,827,617.0,198,419.0,20
183,2023-09-10,21,2023-09-01,2023-09-30,827,617.0,219,398.0,20
183,2023-09-11,39,2023-09-01,2023-09-30,827,617.0,258,359.0,19
183,2023-09-12,24,2023-09-01,2023-09-30,827,617.0,282,335.0,19
183,2023-09-13,1,2023-09-01,2023-09-30,827,617.0,283,334.0,20
183,2023-09-14,22,2023-09-01,2023-09-30,827,617.0,305,312.0,20
183,2023-09-15,15,2023-09-01,2023-09-30,827,617.0,320,297.0,20
183,2023-09-16,26,2023-09-01,2023-09-30,827,617.0,346,271.0,20
183,2023-09-17,26,2023-09-01,2023-09-30,827,617.0,372,245.0,19
183,2023-09-18,29,2023-09-01,2023-09-30,827,617.0,401,216.0,18
183,2023-09-19,28,2023-09-01,2023-09-30,827,617.0,429,188.0,18
183,2023-09-20,30,2023-09-01,2023-09-30,827,617.0,459,158.0,16
183,2023-09-21,14,2023-09-01,2023-09-30,827,617.0,473,144.0,16
183,2023-09-22,16,2023-09-01,2023-09-30,827,617.0,489,128.0,16
183,2023-09-23,11,2023-09-01,2023-09-30,827,617.0,500,117.0,17
183,2023-09-24,22,2023-09-01,2023-09-30,827,617.0,522,95.0,16
183,2023-09-25,16,2023-09-01,2023-09-30,827,617.0,538,79.0,16
183,2023-09-25,16,2023-09-01,2023-09-30,827,617.0,554,63.0,13
183,2023-09-26,8,2023-09-01,2023-09-30,827,617.0,562,55.0,14
183,2023-09-27,7,2023-09-01,2023-09-30,827,617.0,569,48.0,16
183,2023-09-28,4,2023-09-01,2023-09-30,827,617.0,573,44.0,22
183,2023-10-04,10,2023-10-01,2023-10-31,910,578.0,10,568.0,22
183,2023-10-05,0,2023-10-01,2023-10-31,910,578.0,10,568.0,22
183,2023-10-06,0,2023-10-01,2023-10-31,910,578.0,10,568.0,23
183,2023-10-07,0,2023-10-01,2023-10-31,910,578.0,10,568.0,24
183,2023-10-08,25,2023-10-01,2023-10-31,910,578.0,35,543.0,24
183,2023-10-09,6,2023-10-01,2023-10-31,910,578.0,41,537.0,25
185,2023-09-01,10,2023-09-01,2023-09-30,828,154.0,10,144.0,5
185,2023-09-02,4,2023-09-01,2023-09-30,828,154.0,14,140.0,5
185,2023-09-03,6,2023-09-01,2023-09-30,828,154.0,20,134.0,5
185,2023-09-04,9,2023-09-01,2023-09-30,828,154.0,29,125.0,5
185,2023-09-05,2,2023-09-01,2023-09-30,828,154.0,31,123.0,5
185,2023-09-06,1,2023-09-01,2023-09-30,828,154.0,32,122.0,6
185,2023-09-07,5,2023-09-01,2023-09-30,828,154.0,37,117.0,6
185,2023-09-08,9,2023-09-01,2023-09-30,828,154.0,46,108.0,5
185,2023-09-09,8,2023-09-01,2023-09-30,828,154.0,54,100.0,5
185,2023-09-10,9,2023-09-01,2023-09-30,828,154.0,63,91.0,5
185,2023-09-11,5,2023-09-01,2023-09-30,828,154.0,68,86.0,5
185,2023-09-12,6,2023-09-01,2023-09-30,828,154.0,74,80.0,5
185,2023-09-13,1,2023-09-01,2023-09-30,828,154.0,75,79.0,5
185,2023-09-14,6,2023-09-01,2023-09-30,828,154.0,81,73.0,5
185,2023-09-15,3,2023-09-01,2023-09-30,828,154.0,84,70.0,5
185,2023-09-16,6,2023-09-01,2023-09-30,828,154.0,90,64.0,5
185,2023-09-17,7,2023-09-01,2023-09-30,828,154.0,97,57.0,5
185,2023-09-18,5,2023-09-01,2023-09-30,828,154.0,102,52.0,5
185,2023-09-19,5,2023-09-01,2023-09-30,828,154.0,107,47.0,5
185,2023-09-20,8,2023-09-01,2023-09-30,828,154.0,115,39.0,4
185,2023-09-21,6,2023-09-01,2023-09-30,828,154.0,121,33.0,4
185,2023-09-22,5,2023-09-01,2023-09-30,828,154.0,126,28.0,4
185,2023-09-23,2,2023-09-01,2023-09-30,828,154.0,128,26.0,4
185,2023-09-24,4,2023-09-01,2023-09-30,828,154.0,132,22.0,4
185,2023-09-25,1,2023-09-01,2023-09-30,828,154.0,133,21.0,5
185,2023-09-25,1,2023-09-01,2023-09-30,828,154.0,134,20.0,4
185,2023-09-26,5,2023-09-01,2023-09-30,828,154.0,139,15.0,4
185,2023-09-27,5,2023-09-01,2023-09-30,828,154.0,144,10.0,4
185,2023-09-28,4,2023-09-01,2023-09-30,828,154.0,148,6.0,3
185,2023-10-04,1,2023-10-01,2023-10-31,911,144.0,1,143.0,6
185,2023-10-05,0,2023-10-01,2023-10-31,911,144.0,1,143.0,6
185,2023-10-06,1,2023-10-01,2023-10-31,911,144.0,2,142.0,6
185,2023-10-07,0,2023-10-01,2023-10-31,911,144.0,2,142.0,6
185,2023-10-08,0,2023-10-01,2023-10-31,911,144.0,2,142.0,7
199,2023-09-01,12,2023-09-01,2023-09-30,814,2771.0,12,2759.0,96
199,2023-09-02,8,2023-09-01,2023-09-30,814,2771.0,20,2751.0,99
199,2023-09-03,11,2023-09-01,2023-09-30,814,2771.0,31,2740.0,102
199,2023-09-04,15,2023-09-01,2023-09-30,814,2771.0,46,2725.0,105
199,2023-09-05,22,2023-09-01,2023-09-30,814,2771.0,68,2703.0,109
199,2023-09-06,48,2023-09-01,2023-09-30,814,2771.0,116,2655.0,111
199,2023-09-07,63,2023-09-01,2023-09-30,814,2771.0,179,2592.0,113
199,2023-09-08,44,2023-09-01,2023-09-30,814,2771.0,223,2548.0,116
199,2023-09-09,44,2023-09-01,2023-09-30,814,2771.0,267,2504.0,120
199,2023-09-10,66,2023-09-01,2023-09-30,814,2771.0,333,2438.0,122
199,2023-09-11,80,2023-09-01,2023-09-30,814,2771.0,413,2358.0,125
199,2023-09-12,67,2023-09-01,2023-09-30,814,2771.0,480,2291.0,128
199,2023-09-13,5,2023-09-01,2023-09-30,814,2771.0,485,2286.0,135
199,2023-09-14,90,2023-09-01,2023-09-30,814,2771.0,575,2196.0,138
199,2023-09-15,84,2023-09-01,2023-09-30,814,2771.0,659,2112.0,141
199,2023-09-16,97,2023-09-01,2023-09-30,814,2771.0,756,2015.0,144
199,2023-09-17,91,2023-09-01,2023-09-30,814,2771.0,847,1924.0,148
199,2023-09-18,99,2023-09-01,2023-09-30,814,2771.0,946,1825.0,153
199,2023-09-19,85,2023-09-01,2023-09-30,814,2771.0,1031,1740.0,159
199,2023-09-20,80,2023-09-01,2023-09-30,814,2771.0,1111,1660.0,166
199,2023-09-21,115,2023-09-01,2023-09-30,814,2771.0,1226,1545.0,172
199,2023-09-22,71,2023-09-01,2023-09-30,814,2771.0,1297,1474.0,185
199,2023-09-23,79,2023-09-01,2023-09-30,814,2771.0,1376,1395.0,200
199,2023-09-24,100,2023-09-01,2023-09-30,814,2771.0,1476,1295.0,216
199,2023-09-25,113,2023-09-01,2023-09-30,814,2771.0,1589,1182.0,237
199,2023-09-25,113,2023-09-01,2023-09-30,814,2771.0,1702,1069.0,214
199,2023-09-26,124,2023-09-01,2023-09-30,814,2771.0,1826,945.0,237
199,2023-09-27,157,2023-09-01,2023-09-30,814,2771.0,1983,788.0,263
199,2023-09-28,212,2023-09-01,2023-09-30,814,2771.0,2195,576.0,288
199,2023-10-04,193,2023-10-01,2023-10-31,921,3905.0,193,3712.0,138
199,2023-10-05,125,2023-10-01,2023-10-31,921,3905.0,318,3587.0,138
199,2023-10-06,102,2023-10-01,2023-10-31,921,3905.0,420,3485.0,140
199,2023-10-07,62,2023-10-01,2023-10-31,921,3905.0,482,3423.0,143
199,2023-10-08,116,2023-10-01,2023-10-31,921,3905.0,598,3307.0,144
199,2023-10-09,9,2023-10-01,2023-10-31,921,3905.0,607,3298.0,150
210,2023-09-03,20,2023-09-01,2023-09-30,837,268.0,20,248.0,10
210,2023-09-04,22,2023-09-01,2023-09-30,837,268.0,42,226.0,9
210,2023-09-05,8,2023-09-01,2023-09-30,837,268.0,50,218.0,9
210,2023-09-06,11,2023-09-01,2023-09-30,837,268.0,61,207.0,9
210,2023-09-07,8,2023-09-01,2023-09-30,837,268.0,69,199.0,9
210,2023-09-08,12,2023-09-01,2023-09-30,837,268.0,81,187.0,9
210,2023-09-09,8,2023-09-01,2023-09-30,837,268.0,89,179.0,9
210,2023-09-10,13,2023-09-01,2023-09-30,837,268.0,102,166.0,9
210,2023-09-11,10,2023-09-01,2023-09-30,837,268.0,112,156.0,9
210,2023-09-12,15,2023-09-01,2023-09-30,837,268.0,127,141.0,8
210,2023-09-13,0,2023-09-01,2023-09-30,837,268.0,127,141.0,9
210,2023-09-14,7,2023-09-01,2023-09-30,837,268.0,134,134.0,9
210,2023-09-15,8,2023-09-01,2023-09-30,837,268.0,142,126.0,9
210,2023-09-16,4,2023-09-01,2023-09-30,837,268.0,146,122.0,9
210,2023-09-17,6,2023-09-01,2023-09-30,837,268.0,152,116.0,9
210,2023-09-18,8,2023-09-01,2023-09-30,837,268.0,160,108.0,9
210,2023-09-19,6,2023-09-01,2023-09-30,837,268.0,166,102.0,10
210,2023-09-20,7,2023-09-01,2023-09-30,837,268.0,173,95.0,10
210,2023-09-21,8,2023-09-01,2023-09-30,837,268.0,181,87.0,10
210,2023-09-22,6,2023-09-01,2023-09-30,837,268.0,187,81.0,11
210,2023-09-23,3,2023-09-01,2023-09-30,837,268.0,190,78.0,12
210,2023-09-24,4,2023-09-01,2023-09-30,837,268.0,194,74.0,13
210,2023-09-25,10,2023-09-01,2023-09-30,837,268.0,204,64.0,13
210,2023-09-25,10,2023-09-01,2023-09-30,837,268.0,214,54.0,11
210,2023-09-26,6,2023-09-01,2023-09-30,837,268.0,220,48.0,12
210,2023-09-27,7,2023-09-01,2023-09-30,837,268.0,227,41.0,14
210,2023-09-28,13,2023-09-01,2023-09-30,837,268.0,240,28.0,14
218,2023-09-01,156,2023-09-01,2023-09-30,507,7500.0,156,7344.0,254
218,2023-09-02,132,2023-09-01,2023-09-30,507,7500.0,288,7212.0,258
218,2023-09-03,138,2023-09-01,2023-09-30,507,7500.0,426,7074.0,262
218,2023-09-04,86,2023-09-01,2023-09-30,507,7500.0,512,6988.0,269
218,2023-09-05,103,2023-09-01,2023-09-30,507,7500.0,615,6885.0,276
218,2023-09-06,109,2023-09-01,2023-09-30,507,7500.0,724,6776.0,283
218,2023-09-07,69,2023-09-01,2023-09-30,507,7500.0,793,6707.0,292
218,2023-09-08,62,2023-09-01,2023-09-30,507,7500.0,855,6645.0,303
218,2023-09-09,84,2023-09-01,2023-09-30,507,7500.0,939,6561.0,313
218,2023-09-10,86,2023-09-01,2023-09-30,507,7500.0,1025,6475.0,324
218,2023-09-11,41,2023-09-01,2023-09-30,507,7500.0,1066,6434.0,339
218,2023-09-12,102,2023-09-01,2023-09-30,507,7500.0,1168,6332.0,352
218,2023-09-14,217,2023-09-01,2023-09-30,507,7500.0,1385,6115.0,383
218,2023-09-15,214,2023-09-01,2023-09-30,507,7500.0,1599,5901.0,394
218,2023-09-16,182,2023-09-01,2023-09-30,507,7500.0,1781,5719.0,409
218,2023-09-17,244,2023-09-01,2023-09-30,507,7500.0,2025,5475.0,422
218,2023-09-18,442,2023-09-01,2023-09-30,507,7500.0,2467,5033.0,420
218,2023-09-19,417,2023-09-01,2023-09-30,507,7500.0,2884,4616.0,420
218,2023-09-20,481,2023-09-01,2023-09-30,507,7500.0,3365,4135.0,414
218,2023-09-21,668,2023-09-01,2023-09-30,507,7500.0,4033,3467.0,386
218,2023-09-22,703,2023-09-01,2023-09-30,507,7500.0,4736,2764.0,346
218,2023-09-23,714,2023-09-01,2023-09-30,507,7500.0,5450,2050.0,293
218,2023-09-24,684,2023-09-01,2023-09-30,507,7500.0,6134,1366.0,228
218,2023-09-25,716,2023-09-01,2023-09-30,507,7500.0,6850,650.0,130
218,2023-09-25,716,2023-09-01,2023-09-30,507,7500.0,7566,-66.0,-13
218,2023-09-26,695,2023-09-01,2023-09-30,507,7500.0,8261,-761.0,-190
218,2023-09-27,736,2023-09-01,2023-09-30,507,7500.0,8997,-1497.0,-499
218,2023-09-28,655,2023-09-01,2023-09-30,507,7500.0,9652,-2152.0,-1076
